id,ground_truth,F5-TTS-o,wer
304,cô gái kia yêu cầu gia đình không được báo với công an nếu không còn nguy hiểm tới tính mạng,"Tôi e giảng ở đây không, chúng tôi không chấp nhận.",95.24
305,được thưa anh,"Dù chỉ có tính thầm Mỹ, xong dải pháp sữa chữa, hoặc đổi má hàng lạ lắm vãnh tạo được sự hứng khởi ở những trẻ nhỏ.",866.67
306,nhà nước có thể hỗ trợ giá thuê bằng cách miễn giảm tiền sử dụng đất miễn giảm thuế,Con nhỏ mờ cái túi gút đeo trên cổ.,100.0
307,vui lòng mang cho tôi một ít giấy viết,Họ không cho phép anh vào nhà.,88.89
308,công an huyện quảng ngãi đã triệu tập bố mẹ của cháu lĩnh là nguyễn văn vĩnh và võ thị thụy để lấy lời khai,"Nguồn nước ở đây đã bị nhím mặn nhím phèn và nhím khuẩn. Bởi thói quen thuên thải rác trực tiếp ra xông, lượng thuốc trừ sâu, dùng trong nông nghiệp, việc xây, cầu cản ở cuối dòng xông, cũng là lý do.",172.0
309,bạn có những món hàng khác không,Đây có thể là kẻ hở nãy xin tiêu cực gây thất thoát lớn.,185.71
31,cho vừa với số kinh phí hạn hẹp của một bộ phim,Cho tôi bán đồ thành phố được không?,100.0
310,ti vi giảm tiếng về một,"Đốt pháo sẽ bị tội gây, rối trật tự công cộng bởi tác hại lớn mà việc đốt pháo đã bị cấm hành.",383.33
311,thu hoạch và bảo quản lúa là khâu cuối cùng trong một mùa vụ,Phía thuốc lắc,100.0
312,cha và dì cứ đổ riệt cho mẹ,Anh đã làm rất tệ.,100.0
313,tuy nhiên sự việc vừa đi qua đã chứng tỏ ông đã bắt đầu lo lắng cho an ninh của gia đình mình,làm phát tăng là do dự báo yếu kém,100.0
314,một thành phố như thế xứng đáng được ca tụng,Điều này chọc tức tôi.,100.0
315,cả sân thiên trường ồ lên tiếc nuối,"Trước đó, tôi về mở hộp thư điện tử ra, và nhận được rất nhiều lá thư của người Hâm, mộ yêu cầu tôi về quê hương đi và tôi biết đã đến lúc nói lời tạm biệt.",475.0
316,chúng ta có thể bắt đầu không,Các kết quả xét nghiệm có bí mật không?,128.57
317,phía bên phải cơ thể tôi bị đau rất tệ,toàn là đồ dùng cá nhân.,100.0
318,người dân ngán ngẩm với dịch vụ bệnh viện,Dừng lại!,100.0
319,có cái gì gây ra cơn đau này không,Những lời ít nào khác được cung cấp.,100.0
32,kịch sến nhiều tập làm tôi oải quá tôi sẽ tắt TV,Đều không quan trọng.,100.0
320,tôi cần phải về nhà bây giờ,Chúng tôi không có cửa khác.,100.0
321,không chỉ có mức lương trung bình thấp nhất ở đông bắc á mà công đoàn độc lập cũng không hiện hữu ở nơi này,Quý vị có cục u hay chỗ sừng nào ở cả hai bên cổ không?,92.0
322,gia đình Bart cho biết bộ phim phỉ báng ông đồng thời dọa sẽ kiện để bộ phim này không được phép chiếu,TV Tăng Tiến đến chín.,100.0
323,số tiền này dự định sẽ được dùng để đỡ gánh chi phí an sinh xã hội cho các chủ doanh nghiệp và khuyến khích họ thuê thêm lao động,và cho tôi khoai tay chiên.,96.67
324,vui lòng cho tôi biết tàu sẽ khởi hành đúng giờ không,Thịt gà nhồi hốn hợp băm nhỏ,100.0
325,bạn có biết hẹn hò,Cô ta nghi ngờ lúc mình xây rượu đã bị toán cứng bức.,260.0
326,miễn thuế đối với nhà đầu tư trong nước kém ưu đãi hơn so với đầu tư nước ngoài,"Các đầu bếp còn chế biến ra nhiều loại phở khác nhau, bằng cách biến tấu những món ăn hàn quốc, quốc như phở hải sản phở sao mực.",152.63
327,đồng hồ tôi chậm ba phút,Anh có thể cho tôi biết số điện thoại của Jerry Hart hả? Anh ấy ở tại phố 12 phố Pinyard Street.,350.0
328,cô rê chí mén \r\n và giấc mơ toàn cầu,"Anh có thể cho tôi biết số điện thoại của Jerry Hart Anh ấy ở tại 42 phố Pinnwood Street, Sito.",210.0
329,lên các cuộc hẹn phỏng vấn và thực hiện phỏng vấn,Hậu quả là câu chúc sản xuất của Việt Nam cũng bị méo món nghiêm trọng.,145.45
33,chính vì thế những người phải sống một thời gian dài trong không gian có thể gặp rủi ro,Có lúc họ đút hai tay trong túi hai vai rục lại mà đi có lúc đánh tay thoải mái ữ ngực.,110.53
330,tôi sẽ kê toa thuốc cho anh,Chuyến đi hay quá!,100.0
331,khách hàng chờ nhận hành lý thất lạc,Anh chắc là đói có gà nướng trong tụ lạnh,125.0
332,ti vi tắt âm lượng,Xin lỗi tôi đã không để ý.,140.0
333,Trường là người rất có kỷ luật nhưng làm việc hơi cẩu thả một chút,Vui lòng cho tôi xem cái giống cái được chưng bày ở cửa sổ.,100.0
334,có lẽ bạn đang nghĩ rằng bạn vẫn luôn cư xử một cách đúng mực,", TV",100.0
335,buộc tháo dỡ phần vi phạm ngay như quận bình thạnh,Hút thuốc bị hạn chế trong khu vực công cộng.,100.0
336,bạn sẽ chỉ huy một hạm đội gồm các tàu chiến chiến hạm,"Trung Tán nguyễn phá lại cánh bộ quản giáo trực tiếp. Buồn số 7 chỗ ở của ông Mẫu, ông Dũng nói, kín kẻ cũng là tâm lý của người cải tạo loại án, như trường hợp ông Dũng.",300.0
337,bác tư re,Các khoa hậu xuất hiện trong màn mỡ đầu.,300.0
338,tôi sẽ ở nhà một người bạn tại New York,Ông muốn nhãn hiểu bia nào?,100.0
339,"cái này hoàn toàn tự động , vì vậy anh cần bấm nút mở ống kính",Cần phải bỏ những suy nghĩ củ kỷ của hủ diện bộ cánh nhã nhạnh vừa vành sẽ giúp Ha đẹp hơn ở lễ hỏi cưới.,162.5
34,thực ra thà không đến nỗi mơ mộng đến mê muội để chẳng hiểu tấm lòng của những người thân thông qua lời khuyên nhủ,Tôi bị ung thư.,100.0
340,phân của quí vị có màu đen bao lâu rồi,"Với vỡ kịch thị nở, gặp chí theo điệp Anh, đã diễn rất đạt và gây được cảm tình với bang giám khảo cũng như đông đảo khác nhỉ.",290.0
341,khát mộng tủ,Vírus,100.0
342,tôi đi bộ,Thưa ăn tên của ăn là gì?,233.33
343,con trai của họ ăn nhiều nhất,còn thỏ đang bị công an tạm giữ.,114.29
344,anh có mang tiền lẻ không,Tôi có thể lấy gì cho anh,100.0
345,xin chào vui lòng nối máy cho tôi đến bàn đặt phòng,Đây là 20 đô la và anh có thể giữ tiền thôi.,100.0
346,chúng tôi phải đi bây giờ tôi rất thích bài khiêu vũ,"3277, anh có thể nói chuyện với cô ấy ở một số máy con 1 năm chín cô ấy nghĩ nó như...",183.33
347,hôm nay su không ở đây,"Ký túc vắng, tanh đèn thoát hiểm nhấp nháy chặp trần cứ như trên phim được xem ý.",300.0
348,bữa sáng có gì,Mọi thứ dường như vô nghĩa và vô dụng đối với tôi.,300.0
349,tôi muốn chỉ ra rằng,cho dù ngôn ngữ của bạn có là gì đi nữa.,220.0
35,bán đấu giá mỹ nữ,Tôi không thể hiểu bạn.,100.0
350,do vậy việc y án sơ thẩm là hoàn toàn có cơ sở,Anh có dừng tại khách sạn biên yên không?,100.0
351,động cơ bị nóng quá,Tôi muốn gặp về một bác sĩ chuyên về Tai.,200.0
352,hầu như không ai chú ý đến những mệnh lệnh ông đưa ra nữa binh lính thì không chịu chiến đấu,Giá cao xu bắt đầu hạ nhiệt.,100.0
353,tôi đến cùng bạn tôi được không,Cắt tốt nhất để đến khách sạn Plaza là gì?,128.57
354,chừng nào thì khu bị đóng cửa sẽ mở cửa cho xe đi,"Trời các anh ơi, Opp situated in the top",100.0
355,đây là một áp lực nặng nề đối với các đơn vị sản xuất thép,Quán cà phê anh em mở làm phở ngon cực kỳ,100.0
356,sản phẩm đã được miễn giảm thuế chủ yếu phục vụ thị trường các tỉnh miền tây nam bộ đã biến khỏi mĩ khởi,Vui lòng dùng máy xe ROX.,100.0
357,tôi nói cậu có nghe không,Từ bây giờ nó được gọi là Thái Nhí.,150.0
358,tôi có thể ở lại ba đêm không,Ma?,100.0
359,tuy nhiên giá bán vẫn giữ mức khá cao,Tôi không có em trai.,100.0
36,địa chỉ email của tôi là S T E F A N dot M A R T E N S \r\n @ GMX dot DE,Đừng lo tôi vừa mới đến rồi.,96.0
360,tôi có một số câu hỏi về điều khoản số tám,Cũng hoạm của nó yếu hơn của Linh Cẫu.,100.0
361,tôi thường có nhưng tôi thích nghỉ hè,Đạo chích người nước ngoài tái xuất.,100.0
362,ngày mai chúng tôi phải dậy sớm,bật điều hòa nhịt độ,100.0
363,dòng sản phẩm thảm đỏ thôi miên mọi ánh nhìn bởi chi tiết xếp nếp mềm mại,Tôi tham gia vào câu lạc Bộ Quần Vật,100.0
364,với dầu và mụn mặt nạ táo và mật ong sẽ giúp bạn cải thiện làn da,Rùa phải nuôi trong các bồn khô vì chúng không ngốc đầu lên được.,100.0
365,và tăng khả năng sinh sản,Ví của mềm tiền nhồi nhét vô tổ chức.,150.0
366,tại bữa cơm nhấp xong chén rượu bảy đưa tuấn thấy anh bỉnh kêu đắng khó uống,Quý vị khuyên tôi khi nào thì có thể thay các lớp xe này.,100.0
367,mà điện sản xuất lãi như vậy có thấy EVN đả động gì đâu,"Tên tôi là Suzuki, tôi đã đặt phòng cho đêm nay.",100.0
368,anh có thích gặp nói chuyện sau không,"Ông tổng giám đốc doanh nghiệp bảo trợ xã hội là người đã hỗ trợ xây dựng ngôi nhà từ những trai nhựa, lông ổng và cũng là chù dự án này.",400.0
369,làm ơn cho một ly rượu vang đỏ được không,Tốt nhất anh không nên làm nó.,100.0
37,hôm thứ năm ủy ban bầu cử thái lan cho rằng đảng của người thái yêu người thái đã phạm hai luật trong chiến dịch tranh cử vừa qua,Tôi cảm thấy rất nặng nè tôi không thể di chuyển chân của tôi.,96.55
370,đi lên,Thông minh có năng lực được giáo dục cẩn thận và có lòng tin.,700.0
371,tôi muốn một đôi ván trượt nước,Tôi muốn biết về sự giảm giá giành cho sinh viên.,142.86
372,con biết nịnh bố mỗi khi thích món đồ chơi nào đó,Bạn có kiểu giống thế này màu nâu không?,100.0
373,bạn muốn uống loại rượu nào,Số phòng an số mấy.,100.0
374,tại cuộc họp ông nguyễn quốc bảo khẳng định thời gian tới sẽ tập trung điều hành nhằm tháo gỡ khó khăn về vốn cũng như thủ tục hành chính phục vụ sản xuất nhập khẩu,nhiều chàng trai để ý và theo dõi bạn.,100.0
375,dùng thuốc ngay khi thức dậy buổi sáng,Chúc mừng về ngôi nhà mới của bạn!,100.0
376,ồ không vấn đề gì,Giá đậu xe 1 tiếng là bao nhiêu?,160.0
377,nhiều lần chị góp ý ông xã đã hứa sẽ sửa lịch cho hợp lý song chỉ được dăm bữa nửa tháng mọi việc lại đâu vào đấy,Xây dựng nhà máy ở nước ngoài.,100.0
378,bạn đừng để mắt to hơn bụng,"Nhóm người ngủ trong phòng lạnh nhất, phần lớn, mơ những điều khó chịu kinh sợ còn ở phòng ấm, nhất những giấc mơ ái nhẹ nhàng đã đến trong giấc ngủ của những người ở đó.",528.57
379,còn gì ý nghĩa hơn với một tiền đạo khi ghi bàn quyết định thắng lợi cho đội nhà trong ngày sinh nhật của mình,Do đó không thể nào nhầm lãnh được giữa một nụ cười ngự ngự.,100.0
38,không thể xem lần vấp ngã ấy là tai,Tình yêu là mù quả người đang yêu không thấy khuyết điểm của người khác.,166.67
380,bắt đầu lúc mấy giờ,Tôi có thể mua vé ở đâu?,140.0
381,con của quí vị bao nhiêu tuổi,Hãy đến gặp bác sĩ để khám.,100.0
382,vui lòng mang cho tôi món khai vị,Tôi có thể dùng thè này để được giảm giá không?,137.5
383,lập trình viên đa số đều bị tâm thần,Thiếu nữ anh chết trong bồn tắm ở Tokyo.,100.0
384,tôi muốn thời gian đó quan sát và tư duy nhờ đó mà có ý tưởng điều chỉnh nhịp đèn Anh Tuấn chia sẻ,Hoài niệm về chuyển xếp hàng ở Linsow.,100.0
385,mặc dù có vẻ ghê gớm bạn rất sợ bị tổn,Sinh nhịt liệt hoàn nghên hò.,100.0
386,nhà hát mở cửa lúc mấy giờ,Ai là chua nói dối?,100.0
387,tóm lược sức khỏe ban đầu,Chúng ta hãy tung 1 đồng tiền để quyết định.,166.67
388,tôi muốn giữ nó dưới giá ba mươi đô la,toàn bộ quy trình điện toán hóa thư viện do công ty lạc việc giúp nghiên cứu thiết kế.,190.0
389,chiếc này dành riêng tổng thống mới đắc cử của mỹ xác nhận đã chuyển tới mật vụ mỹ chiếc xe dành cho tổng thống mới để thay thế chiếc xe cũ,Điều quan trọng là anh đã cố gắng.,96.88
39,cướp bóc trong khi hỏa hoạn,Futter rơi quảng cáo biến thành Rack Do Thị.,150.0
390,nhưng tôi không muốn bạn tin tưởng vào bất kỳ điều gì,Bên cạnh đó cũng phải an toàn hơn.,100.0
391,không thể phớt lờ lạm phát,Vậy điều gì ủng hộ ý tưởng táo bạo trên?,166.67
392,hoa nhận lời yêu thắng,Lẽ ra ăn phải ở trường chứ.,140.0
393,bóng đá anh hấp dẫn nhiều tỷ phú,"Nhà nước không để những người nghèo đã được vào học mà lại không thể tiếp, tục đi học.",237.5
394,cách tốt nhất là bằng xe buýt,Tôi muốn thay đổi chuyến bay của mình.,114.29
395,cô ấy bị mất thẻ ngân hàng,cho tôi 1 cuốn phim phơi sáng 36,114.29
396,phòng thay đồ ở đằng kia,Bạn có thể ở lại đây lâu như bạn muốn.,150.0
397,sản phẩm phụ của máy rút tiền đầu tiên là mã số bảo mật -N viết tắt là pin,Wenn vous leo,100.0
398,tôi hy vọng thời tiết sẽ sớm sáng sủa,Anh gợi ý một nhà hàng pháp ngon được không?,111.11
399,bạn đường khều cùi chỏ nhắc coi chừng ổng khùng,Tôi nghe điếp hãy này được không?,100.0
4,có rất nhiều yếu tố may rủi ở đây,Thiết bị còn gửi thông điệp cảnh báo tới người chủ khi pin sắp hết.,166.67
40,một dân tộc từng không có người từ á sang âu -N,Cô ấy có thính giác ảo,91.67
400,thuốc diệt cỏ làm ếch đực mất khả năng sinh sản,nên khâu tổ chức tuyển sinh của các trường.,100.0
401,bạn có thể bật máy điều hòa lên được không,Nước có ấm không?,90.0
402,phê thuốc lắc,Anh rửa hình kỹ thuật số ra được không?,300.0
403,chỗ cho thuê ghế bãi biển đã mở cửa chưa,Tốt này bị bắt tốt khác lại tới.,100.0
404,tôi muốn trau dồi tiếng tây ban nha của mình,Anh ta có cá tính không thân thiện,100.0
405,kênh K+ một,Hãy đưa vào ăn đi cùng.,200.0
406,làm gì để bảo vệ sự an toàn của ngân hàng,Các dự án mở rộng cũng đã phải liên lại những tác động xấu đến quá nhanh trên diện rộng và nặng nề hơn so với những gì chúng tôi dự báo.,290.91
407,tôi đã bị lừa,Xin lỗi cho tôi 1 cái đĩa để chia ra được không?,275.0
408,vậy kế hoạch của anh cho ngày mai ra sao,Tôi cho rằng không có vấn đề gì.,100.0
409,tôi uống từ vòi nước được không,Vui lòng sắp xếp một chuyến bay khác để tôi có thể chuyển sang A123.,214.29
41,tết đầu tiên xa việt nam của cháu quả là ý nghĩa,"Đôi khi trong các khẩu súng, các em mang, trên người không hề có đạn em chỉ là một thứ hù giỏa những.",183.33
410,nó có hướng dẫn -N sử dụng không,Đến lượt anh!,100.0
411,có người còn không ngần ngại so sánh doanh thu phim việt với các phim nhập của nước ngoài,"Nguyễn vang vũ vừa tử nạn vì hỗ trợ đuổi Bắc tội tội phạm ngay. 13 tháng, một công an xã cẩm trặt huyện Cần Cấu cho biết mộng một người lái xe khách 2-7 tuổi nã tử khi giúp một phụ nữ bị 7 tên không chấp tài sản.",257.89
412,bạn có quan tâm đến đồ cổ không,Anh có bao giờ đến Tokyo chưa?,75.0
413,bản báo cáo cũng chỉ rõ ở việt nam hiện nay những hủ tục hay những suy nghĩ cũ tồn tại ở nhiều vùng dân tộc thiểu số thậm chí cả ở các tỉnh thành lớn đã khiến cho sự bất bình đẳng giới cũng như tỷ lệ tử vong ở phụ nữ và trẻ nhỏ vẫn rất cao,"Họ sẽ chơi nhiều ca khúc từ bộ phim, âm thanh của âm nhạc.",98.31
414,cũng chẳng còn xúng xính quần áo mới,Áo mưa phát sáng theo nhịp mưa rơi.,100.0
415,tôi đang tìm diêm,Bạn có thể nói cho tôi biết về nhà hàng truyền thống không?,300.0
416,một chỗ bí mật à ý bạn là sao,Trước đây có ai trong gia đình quý vị từng có vấn đề ở bụng không?,177.78
417,chính sách quản lý cần cởi mở,từ vẹt bò hóng nâu chầm.,100.0
418,bệnh này có thường xảy ra không,Nhà thi đấu đại học công nghệ Bắc Kinh,128.57
419,quẹo tay lái và đi vòng các góc,Món canh nguội lạng,100.0
42,trong làng ai cũng quý mến gia đình anh phú,Nếu làm lộ thiên cơ âm bình sẽ đánh trả thầy.,110.0
420,anh ấy đến từ Flanders,"Ông cường nhận định lượng phôi, thép sản xuất ở trong nước sẽ không tăng đáng kể ít nhất là cho đến cuối năm sau.",480.0
421,nhiều bộ ong hang đá có dấu hiệu -N gấu ngựa gấu chó sinh sống -N,Nó xảy không có gì là ngạc nhiên,93.75
422,xin lỗi ông cho tôi lấy hóa đơn được không,và lời cảnh báo đã sớm trở thành sự thật.,100.0
423,các mảnh có rìa sắc được tha vào cán gỗ và gắn chặt bằng nhựa thông,Hai con voi này rất hung giữ và phá nát nhiều hoa màu của người dân trong khu vực.,118.75
424,vui lòng không bỏ đồ quý giá trên toa hành khách,Má vùng của B1 là 01752,100.0
425,người mẫu phải tập tành trình diễn quần quật -N đến tận khuya,với 2 cổ tay treo lung lặng những tối xốt.,100.0
426,được rồi chút nữa tôi sẽ massage cho ngài chỗ khác,"Trong cái nóng oi ả của mùa hè các loài vật, cũng có cách tự làm mát cho riêng mình.",181.82
427,không lẽ ước nguyện đó của tôi lại khó đến thế sao,Nhưng rất tốn kém khi thay thế hoặc sửa chữa.,100.0
428,thời gian đóng ma làng cả đoàn phim sống vài tháng trời trên vùng núi Lương Sơn Hòa Bình,bao nhiêu tiếng bằng xe bít đến me đan vậy bác ơi?,100.0
429,nhiều trụ cột và các mạch vữa đều mục ruỗng,Còn đây là thế giới của dày Giép.,100.0
43,xin chào gia đình Tanaka,Đâu là nền tảng sinh học của ý thức.,180.0
430,làm nơi nấu nướng giặt giũ,Không hấp dẫn anh,100.0
431,khách tham quan cũng tranh thủ ngồi vào ghế hành khách để thử độ êm nhún,Cái giá của một ăn hùng,100.0
432,tôi e rằng ở đây không chúng tôi không chấp nhận,Tăng nhiệt độ lên 30 độ.,100.0
433,dù chỉ có tính thẩm mỹ song giải pháp sửa chữa hoặc đổi mã hàng lạ lẫm vẫn tạo được sự hứng khởi ở những trẻ nhỏ,Điều đó là không thể hiểu được.,100.0
434,con nhỏ mở cái túi gút đeo trên cổ,Hoa mãn lâu ngày ấy và bây giờ.,100.0
435,họ không cho phép anh vào nhà,không tôi luôn tỷ Mỹ,85.71
436,nguồn nước ở đây đã bị nhiễm mặn nhiễm phèn và nhiễm khuẩn bởi thói quen thải rác trực tiếp ra sông lượng thuốc trừ sâu dùng trong nông nghiệp và việc xây cầu cảng ở cuối dòng sông cũng là lý do,Anh có bị đau do mệt mỏi không?,97.67
437,đây có thể là kẽ hở nảy sinh tiêu cực gây thất thoát lớn,Ba tôi sẽ về Hu năm nay.,100.0
438,đốt pháo sẽ bị tội gây rối trật tự công cộng bởi tác hại lớn mà việc đốt pháo đã bị cấm hẳn,Vợ đánh trồng vì không kiếm được tiền.,100.0
439,phê thuốc lắc,Không nhà tài trở không bán vé để phục vụ các bạn sinh viên.,466.67
44,anh đã làm rất tệ,Tôi có thể xin một khác không?,140.0
440,điều này chọc tức tôi,Giết bằng lúa mình nha!,100.0
441,trước đó tôi về mở hộp thư điện tử ra và nhận được rất nhiều lá thư của người hâm mộ yêu cầu tôi về quê hương đi và tôi biết đã đến lúc nói lời tạm biệt,3 tháng cô ấy khá mới,100.0
442,các kết quả xét nghiệm có bí mật không,Vui lòng đưa tờ báo nhật.,100.0
443,toàn là đồ dùng cá nhân,Có tùa đến Thao Rôn không?,100.0
444,dừng lại,"Xin lỗi, anh có thể bán theo đơn này không?",500.0
445,những lợi ích nào khác được cung cấp,"Phải chờ, tới khi ối ra nhiều trở lại thì bọn rầy mới biến mất.",187.5
446,chúng tôi không có cỡ khác,"Chẳng phải là bệnh hiểm nghèo, nhưng chỉ vẫn là bệnh gây khó chịu cho bệnh nhân bởi làm cản trở công việc của họ lúc làm việc, cũng như lúc ngụ họ vẫn phải lo nghĩ giáo sư nghề nói.",683.33
447,quý vị có cục u hay chỗ sưng nào ở cả hai bên cổ không,Một số cho chơi đòi hỏi các động tác chậm thận trọng hãy từ từ.,100.0
448,ti vi tăng tiếng đến chín,6667,100.0
449,và cho tôi khoai tây chiên,Bạn có muốn tôi dịch cái này cho bạn không tôi nói tiếng Nhật?,200.0
45,cô ta nghi ngờ lúc mình say rượu đã bị toán cưỡng bức,Tôi đã từng chứng kiến bão và giờ đây tôi đang cộng tác tại nước ngoài.,123.08
450,các đầu bếp còn chế biến ra nhiều loại phở khác nhau bằng cách biến tấu những món ăn Hàn Quốc Trung Quốc như phở hải sản phở xào mực,Phụ thuỷ cũng có ngân hàng à,100.0
451,anh có thể cho tôi biết số điện thoại của Jerry Hart HART anh ấy ở tại phố mười hai phố Pinewood street,"Chứng khoán châu Ú trượt giảm phiên thứ 4 liền tiếp cổ phiếu, khối khai thác mất điểm.",100.0
452,anh có thể cho tôi biết số điện thoại của Jerry Hart HART anh ấy ở tại bốn mười hai phố Pinewood Street Seattle,Độc đáo nhất thuộc về loài nhiếm,100.0
453,hậu quả là cấu trúc sản xuất của việt nam cũng bị méo mó nghiêm trọng,Dự kiến phiên xử diễn ra trong 2 ngày.,100.0
454,chuyến đi hay quá,Chào rất vui được gặp anh!,150.0
455,anh chắc là đói có gà nướng trong tủ lạnh,Tải kiểm định chất lượng giáo dục theo chỉ đạo của bộ giáo dục và đào tạo.,170.0
456,xin lỗi tôi đã không để ý,Hóa ra vị khách bị đang công tác tại bảo tàng lịch sử và nghệ thuật hoàng gia bị.,271.43
457,vui lòng cho tôi xem cái giống cái -N được trưng bày ở cửa sổ,Cám ơn ăn cho số thẻ tín dụng để giữ phòng được không?,100.0
458,mở ti vi,có nên ưu tiên cho các hoạt động bí mật.,333.33
459,các hoa hậu xuất hiện trong màn mở đầu,Mồ hôi trên cơ thể người cũng khó khô đi.,111.11
46,ông muốn nhãn hiệu bia nào,Cà phê uống không,100.0
460,cần phải bỏ những suy nghĩ cũ kỹ cổ hủ diện bộ cánh nhã nhặn vừa vặn sẽ giúp hà đẹp hơn ở lễ hỏi cưới,Thẳng dư ngày càng nhỏ đi.,100.0
461,với vở kịch Thị Nở gặp Chí Phèo Diệp Anh đã diễn rất đạt và gây được cảm tình với ban giám khảo cũng như đông đảo khán giả,Vân giá sẽ là 300 Yên.,100.0
462,virus,"Thấy còn 2 người đang chối với sắp chìm giữa ngã 3 xông, chỉ kịp đẩy em phượng lên bờ là anh thắng, lại đạp, nước bơi ngược ra.",2900.0
463,thưa anh tên của anh là gì,Chúng bò lồm ngổm trên người Anh.,100.0
464,còn thọ đang bị công an tạm giữ,Hãy sẵn sàng ở tiền sảnh khách sản lúc 8h15 sáng mai.,150.0
465,tôi có thể lấy gì cho anh,Sự thực đưa bé mồ coi được thánh nhập trứa bách bận bằng xoà vào vuốt.,228.57
466,đây là hai mươi đô la và anh có thể giữ tiền thối,Vui lòng mang lại giế thức Anh.,100.0
467,ba hai bảy bảy anh có thể nói chuyện với cô ấy ở một số máy con một năm chín cô ấy nghĩ nó như,Xu dù k ER,100.0
468,mọi thứ dường như vô nghĩa và vô dụng đối với tôi,điều tra một thầm phán làm sai lật hồ sơ.,100.0
469,cho dù ngôn ngữ của bạn có là gì đi nữa,Nó là của anh,90.91
47,anh có dừng tại khách sạn begin không,Anh có bị đau do mệt mỏi không?,87.5
470,tôi muốn gặp về một bác sĩ chuyên về tai,có nhiều tiết mục mới và hấp dẫn.,100.0
471,giá cao su bắt đầu hạ nhiệt,Tôi là Hành khách quá cảnh,100.0
472,cách tốt nhất để đến khách sạn plaza là gì,Để đại lấy thức bán cho các đầu nầu ảnh.,100.0
473,gầy tọp,và như thế những điều tốt đẹp.,350.0
474,quán cà phê anh em mở làm phở ngon cực kỳ,Chỗ phát ban trông như thế nào?,100.0
475,vui lòng dùng máy xerox,Hành khách nói đùa bom có thể bị sử lý hình sự.,240.0
476,từ bây giờ nó được gọi là thai nhi,"Vâng thịt bò rất ngon, gửi lời lời khen ngợi của tôi đến đầu bếp nhé.",177.78
477,tôi không có em trai,"Đến địa phận xã Mỹ, thuận Mỹ, lộc Nam có mô định có một người trẻ tuổi, lái xe may chiều vượt trước báo dừng lại để nhờ dẫn đường.",580.0
478,cú ngoạm của nó yếu hơn của linh cẩu,Có một ngày lễ cho các bé gái vào ngày 3 tháng 3.,144.44
479,đạo chích người nước ngoài tái xuất,"Lá chánh nhỏ nhất, để không bị phá sản là sở đúc tiền của Mỹ bằng khả năng của mình mình họ đã sản xuất những đồng đồng đô la Mỹ và độc quyền về giá trị của nó.",542.86
48,bật điều hòa nhiệt độ,Tôi đi hải phòng còn bạn đi đâu?,160.0
480,tôi tham gia vào câu lạc bộ quần vợt,Nảnh lộ mũi hẹp n có tài kiếm tiền.,100.0
481,rùa phải nuôi trong các bồn khô vì chúng không ngóc đầu lên được,Ản và bất thình lần lao vào ẻ hạ gục đối thủ.,100.0
482,ví cũ mèm tiền nhồi nhét vô tổ chức,"Vui lòng đợi, tại phòng chờ quá cánh ở phía trường.",122.22
483,quí vị khuyên tôi khi nào thì có thể thay các lốp xe này,Tôi có thể mua sách ở đâu ở Anh.,92.86
484,"tên tôi là Suzuki , tôi đã đặt phòng cho đêm nay",Nãy giờ sao toàn nghe chê không?,100.0
485,ông tổng giám đốc doanh nghiệp bảo trợ xã hội là người đã hỗ trợ xây dựng ngôi nhà từ những chai nhựa lông ngỗng và cũng là chủ dự án này,Tăng nhiệt độ lên 21 độ,100.0
486,thông minh có năng lực được giáo dục cẩn thận và có lòng tin,chuyên lắm chương 7.71 tác phẩm của hỏa sĩ Trương Hán Minh.,100.0
487,tôi muốn biết về sự giám giảm giá dành cho sinh viên,Theo tôi ở đây bạn cần có ô tô để đi đây đó tôi không còn cách nào khác là thuê một chiếc ô tô.,200.0
488,bạn có kiểu giống thế này màu nâu không,Tên tôi là Noriko Tanaka.,100.0
489,số phòng anh số mấy,Nhân viên giải thích lý do là máy phát sóng không thể gửi lệnh chỉ đặt ra Hà Nội được.,400.0
49,nhiều chàng trai để ý và theo dõi bạn,TV giám âm lượng v4,100.0
490,chúc mừng về ngôi nhà mới của bạn,Những ngày hè xôi động và các môn thể thao ngoài trời thật hấp dẫn.,187.5
491,giá đậu xe một tiếng là bao nhiêu,Đây là ghi chép cho phía nào,100.0
492,xây dựng nhà máy ở nước ngoài,Tàu từ Saitama vào ở sân gà nào,100.0
493,nhóm người ngủ trong phòng lạnh nhất phần lớn mơ những điều khó chịu kinh sợ còn ở phòng ấm nhất những giấc mơ êm ái nhẹ nhàng đã đến trong giấc ngủ của những người ở đó,Tôi bị mất máy ảnh.,100.0
494,do đó không thể nào nhầm lẫn được giữa một nụ cười ngượng ngựu,Tôi nóng lòng được anh đồ anh Nhật Bản,92.86
495,hãy đến gặp bác sỹ để khám,các cầu thủ mô ăn mừng bàn thắng.,114.29
496,tôi có thể dùng thẻ này để được giảm giá không,"Cô ấy bảo ngưng, chắc in sau 11 giờ đêm.",100.0
497,thiếu nữ anh chết trong bồn tắm ở Tokyo,H erle siיה thân,100.0
498,hoài niệm về chuyện xếp hàng ở liên xô,Anh có bị chuyển động gì trong đầu không?,100.0
499,xin nhiệt liệt hoan nghênh họ,Tốn 20 phút.,100.0
