id,ground_truth,XTTS,wer
300,vâng Dave Mark Sachiko và Rumi sẽ có ở bữa tiệc,V произошit,100.0
301,tình hình ở nước anh thì ngược lại phe nào phe nấy thi nhau đả kích thủ tướng của mình,Tình hình là nước Anh tìm được lại phê nào phê này thi nhau đã kích thủ tướng của mình.,50.0
302,phòng có máy lạnh không,Ph intestinal phonder khó giã Bенняacked,120.0
303,họ thoải mái với việc người bạn đường phải núp trong,họ thay máy với việc người bạn đường phải núp trong.,27.27
304,cô gái kia yêu cầu gia đình không được báo với công an nếu không còn nguy hiểm tới tính mạng,"Cô gái kia yêu cầu xa đình không được bảo với công an, nếu không cần nguy hiểm từ tỉnh nạ.",38.1
305,được thưa anh,Đuân thái ăn,100.0
306,nhà nước có thể hỗ trợ giá thuê bằng cách miễn giảm tiền sử dụng đất miễn giảm thuế,Nè nước có thể hỗ trợ giả thuy bằng cách miễn xàm tiền sử dụng đất miễn xàm thuy.,31.58
307,vui lòng mang cho tôi một ít giấy viết,"Vùi là một mạn chờ tôi là, một ít sây việt?",88.89
308,công an huyện quảng ngãi đã triệu tập bố mẹ của cháu lĩnh là nguyễn văn vĩnh và võ thị thụy để lấy lời khai,"Công an huyện quả nãi đã trượt bố mẹ của Châu Lĩnh, là nguyện văn vĩnh và võ thị thị để lấy lời khai.",40.0
309,bạn có những món hàng khác không,Bạn có những món hân không?,57.14
31,cho vừa với số kinh phí hạn hẹp của một bộ phim,Chào vừa với số kinh phí hạn hẹp của một bộ phim,8.33
310,ti vi giảm tiếng về một,"Đi, V favorm, du lui m frequently.",116.67
311,thu hoạch và bảo quản lúa là khâu cuối cùng trong một mùa vụ,Thu hành và bảo quản lứa là hầu cuối cùng trong một mùa vụ.,35.71
312,cha và dì cứ đổ riệt cho mẹ,"Chà, vãi dì, cứ đôi dịt chàng mê el.",100.0
313,tuy nhiên sự việc vừa đi qua đã chứng tỏ ông đã bắt đầu lo lắng cho an ninh của gia đình mình,Tuy nhiên sự việc vừa đi qua đã chúng tỏ hồng đã bắt đầu lo lắng cho an ninh của gia đình mình.,17.39
314,một thành phố như thế xứng đáng được ca tụng,Một thanh phương y tây sinh đáng được ca tùng.,70.0
315,cả sân thiên trường ồ lên tiếc nuối,"Cả sân thiên trường, ô lên tiếc nổi.",50.0
316,chúng ta có thể bắt đầu không,Chúng ta có thể bắt đầu không?,28.57
317,phía bên phải cơ thể tôi bị đau rất tệ,Fear? Mình phải cứ thể tôi bị đau sất tệ.,50.0
318,người dân ngán ngẩm với dịch vụ bệnh viện,"Nội dân nạn nằm voi, dịch phụ, bệnh viên.",66.67
319,có cái gì gây ra cơn đau này không,Có... cái gì... về sạc cơn đau nay không?,66.67
32,kịch sến nhiều tập làm tôi oải quá tôi sẽ tắt TV,Kịch sế nhưu tập làm tôi hiểu hải quá tôi sẽ tắt tivi.,50.0
320,tôi cần phải về nhà bây giờ,"Tôi cần phải về nha, bây giờ",28.57
321,không chỉ có mức lương trung bình thấp nhất ở đông bắc á mà công đoàn độc lập cũng không hiện hữu ở nơi này,"không chỉ có mất lương trung bình thấp nhất ở Đông Bắc ả, mà công đoàn độc lập cũng không hiện hiệu ở nơi này.",24.0
322,gia đình Bart cho biết bộ phim phỉ báng ông đồng thời dọa sẽ kiện để bộ phim này không được phép chiếu,"Già Đình bá cho biết bộ phim phì bá, ông Đồng thời doạ sẽ kiện để bộ phim này không được phép chiếu.",34.78
323,số tiền này dự định sẽ được dùng để đỡ gánh chi phí an sinh xã hội cho các chủ doanh nghiệp và khuyến khích họ thuê thêm lao động,"số tiền này dự định sẽ được dùng để đỡ gánh chi phí An Sinh xã hội, cho các chủ doanh nghiệp và huyền khích họ thơi thêm nào đâu.",23.33
324,vui lòng cho tôi biết tàu sẽ khởi hành đúng giờ không,Vui lòng cho tự biết tàu sẽ hởi hành đúng ra không?,41.67
325,bạn có biết hẹn hò,Ben R'wratkgg? Mfield Hill Note,100.0
326,miễn thuế đối với nhà đầu tư trong nước kém ưu đãi hơn so với đầu tư nước ngoài,"miễn thuê đối với nhà đầu tư trong nước cảm yếu đại hơn, so với đầu tư nước ngoài.",31.58
327,đồng hồ tôi chậm ba phút,Đừng hồn tôi chặn 3 phút,66.67
328,cô rê chí mén \r\n và giấc mơ toàn cầu,"Cô giây chi mê nhớ linh, và sắc mơ đơn cầu.",90.0
329,lên các cuộc hẹn phỏng vấn và thực hiện phỏng vấn,Lên các cuộc hẹn phong vấn và tự kiện phong vấn.,54.55
33,chính vì thế những người phải sống một thời gian dài trong không gian có thể gặp rủi ro,Chính vì thế những người phải sống một thời gian dài trong khôm gian có thể gặp sùi rối.,21.05
330,tôi sẽ kê toa thuốc cho anh,"Đôi xảy, cười ta thúc chào anh.",100.0
331,khách hàng chờ nhận hành lý thất lạc,"Myect mà져, taточ nó damp counting",100.0
332,ti vi tắt âm lượng,TV ĐẠM LỚA,100.0
333,Trường là người rất có kỷ luật nhưng làm việc hơi cẩu thả một chút,"Chưa nè, người rất có kỷ lật, nhưng làm việc hơi cầu thả một chút.",33.33
334,có lẽ bạn đang nghĩ rằng bạn vẫn luôn cư xử một cách đúng mực,Có lẽ bạn đang nghĩ rằng bạn vẫn luôn cứ sửa một cách đúng mực.,26.67
335,buộc tháo dỡ phần vi phạm ngay như quận bình thạnh,"Bục tháo sớm, phân vĩ phạm, nơi như quận bình thân.",63.64
336,bạn sẽ chỉ huy một hạm đội gồm các tàu chiến chiến hạm,"Bạn sẽ chỉ duy một hạm đổi, gồm các tàu chiến chiến hạm mêo.",30.77
337,bác tư re,.,100.0
338,tôi sẽ ở nhà một người bạn tại New York,ş cardi se arms or the four,100.0
339,"cái này hoàn toàn tự động , vì vậy anh cần bấm nút mở ống kính","Cái này hoàn toàn tự động, vì vậy anh cần bấm nút mò ống kính.",31.25
34,thực ra thà không đến nỗi mơ mộng đến mê muội để chẳng hiểu tấm lòng của những người thân thông qua lời khuyên nhủ,"Thực ra thả không đến nỗi mơ mọc đến mê mùi, để chẳng hiểu tấm lòng với những người thân thông qua lời khuyên nhủ.",24.0
340,phân của quí vị có màu đen bao lâu rồi,"Phân của quý vị có màu đen, màu nấu sôi.",60.0
341,khát mộng tủ,gh省 tiền tụi che olais,166.67
342,tôi đi bộ,T pueblo- Cream D petroleum,166.67
343,con trai của họ ăn nhiều nhất,Cần trái quà em mưu nhất?,100.0
344,anh có mang tiền lẻ không,Anh có... mạng tiền lễ không?,83.33
345,xin chào vui lòng nối máy cho tôi đến bàn đặt phòng,"Xin chào vui, lòng nuối mấy cho tôi đến ban đặt phòng.",50.0
346,chúng tôi phải đi bây giờ tôi rất thích bài khiêu vũ,"Chúng tôi phải đi bây giờ, tôi rất thích bài khiêu vũ.",25.0
347,hôm nay su không ở đây,Ổm là chưa... Chân là không sao?,116.67
348,bữa sáng có gì,"Bữa sáng, cao, dì.",100.0
349,tôi muốn chỉ ra rằng,Đ calming gat Lets release some? A message for passengers Hinte Oep So миллиard Beyondinda Oep Em Th mild Mạc,400.0
35,bán đấu giá mỹ nữ,"Ben, đâu xả mỹ nửa?",80.0
350,do vậy việc y án sơ thẩm là hoàn toàn có cơ sở,"Do vậy, Viet, Y-N, sư thầm là hoàn toàn cơ sở.",69.23
351,động cơ bị nóng quá,Đậm cơ bị nắng quá?,60.0
352,hầu như không ai chú ý đến những mệnh lệnh ông đưa ra nữa binh lính thì không chịu chiến đấu,"Hầu như không ai trùi đến những mạnh lệnh ông đưa ra nữa, bình linh thì không chịu chiến đấu.",38.1
353,tôi đến cùng bạn tôi được không,Tôi đến cùng đạn tôi được không?,42.86
354,chừng nào thì khu bị đóng cửa sẽ mở cửa cho xe đi,"Chêm nào thì khu bị đăng cưa sẽ, mở cưa cho sẽ đi.",53.85
355,đây là một áp lực nặng nề đối với các đơn vị sản xuất thép,Đây là một áp lực nặng nề đối với các đơn vị sản xuất thế này.,20.0
356,sản phẩm đã được miễn giảm thuế chủ yếu phục vụ thị trường các tỉnh miền tây nam bộ đã biến khỏi mĩ khởi,Sàn phẩm đã được miễn xàm thế chủ yếu phục vụ thị trường tắc tình miền Tây Nam Bộ đã biến khỏi Mỹ Khời.,41.67
357,tôi nói cậu có nghe không,"Đôi nãy, có, có, có, mê, thân",116.67
358,tôi có thể ở lại ba đêm không,Thôi .. có hảAwaiStep趕 nè.. Thơm,100.0
359,tuy nhiên giá bán vẫn giữ mức khá cao,"Tuy nhiên, cháy bán vẫn sụm mức hạc ảo.",66.67
36,địa chỉ email của tôi là S T E F A N dot M A R T E N S \r\n @ GMX dot DE,Để chí email with doing that stfn.n.n.t nslgma.dx.do,96.0
360,tôi có một số câu hỏi về điều khoản số tám,Tôi có một số câu hài video hành số đảm số đảm.,63.64
361,tôi thường có nhưng tôi thích nghỉ hè,Đ,100.0
362,ngày mai chúng tôi phải dậy sớm,Này mai chúng tôi phải dây sơm?,42.86
363,dòng sản phẩm thảm đỏ thôi miên mọi ánh nhìn bởi chi tiết xếp nếp mềm mại,"Dòng sản phẩm tham đỏ thôi miên ngồi anh nhìn bởi chi tiết xếp, nếp mềm mãi.",35.29
364,với dầu và mụn mặt nạ táo và mật ong sẽ giúp bạn cải thiện làn da,"Với sau và mụn mặt nạ táo và mặt âm sẽ xuất bạn, cày thiện làn rẻ.",47.06
365,và tăng khả năng sinh sản,"Và, đ Creed Ref &Excitement cœur tôi.",116.67
366,tại bữa cơm nhấp xong chén rượu bảy đưa tuấn thấy anh bỉnh kêu đắng khó uống,"Tại bữa cơm nhấp xong chén dựa bảy đưa tấn thấy, anh Bình Teo đáng hóa uống.",52.94
367,mà điện sản xuất lãi như vậy có thấy EVN đả động gì đâu,"Mà điện sản xuất lại như vậy, có thấy Evan đã động gì đâu?",42.86
368,anh có thích gặp nói chuyện sau không,Anh có thích gặp nở chuyện sao không?,50.0
369,làm ơn cho một ly rượu vang đỏ được không,"Lên mơn chào mùi, lý sứ ổ vang đào được hôn.",90.0
37,hôm thứ năm ủy ban bầu cử thái lan cho rằng đảng của người thái yêu người thái đã phạm hai luật trong chiến dịch tranh cử vừa qua,"Hôm thứ Nam, ỉ ban bầu cử thái lan cho rằng, đảng của người thái yêu người thái đã phạm hay luật trong chiến dịch trên cử vừa qua.",24.14
370,đi lên,"Bì, nè, nè, chân, nè, chè.",300.0
371,tôi muốn một đôi ván trượt nước,Tôi muốn một đôi ván trượt nữa,28.57
372,con biết nịnh bố mỗi khi thích món đồ chơi nào đó,"Con biết, Nịn bố mỗi khi thích món đồ chơi nào đã.",33.33
373,bạn muốn uống loại rượu nào,Bạn muốn ôm lại sự nào?,83.33
374,tại cuộc họp ông nguyễn quốc bảo khẳng định thời gian tới sẽ tập trung điều hành nhằm tháo gỡ khó khăn về vốn cũng như thủ tục hành chính phục vụ sản xuất nhập khẩu,"Tại cuộc họp ông Nghễ Quốc bảo hẳn bịn thời gian tới sẽ tập trung điều hành, nằm tháo rợ khó khăn để vốn, cũng như thủ tục hành chính phục vụ sản xuất nhập khẩu.",30.56
375,dùng thuốc ngay khi thức dậy buổi sáng,Dùng thuốc này khi thức sạch buổi sáng?,50.0
376,ồ không vấn đề gì,Ốh! hôm vânroll läh vole challenge,120.0
377,nhiều lần chị góp ý ông xã đã hứa sẽ sửa lịch cho hợp lý song chỉ được dăm bữa nửa tháng mọi việc lại đâu vào đấy,Nhiều lần chị ước y ống xã đã hứa sẽ xử lịch cho học lý xong. Chị đựa ra mỗi bữa nửa tháng mọi việc lại đâu vào đấy.,42.86
378,bạn đừng để mắt to hơn bụng,Bán! Đừng để mặt ta hơn bôn!,71.43
379,còn gì ý nghĩa hơn với một tiền đạo khi ghi bàn quyết định thắng lợi cho đội nhà trong ngày sinh nhật của mình,"còn gì ý nghĩa hơn với một tiền đạo khi ghi bàn quyết định, thẳng lợi cho đuổi nhà trong ngày sinh nhất của mình.",20.0
38,không thể xem lần vấp ngã ấy là tai,"Không thể xem lần vấp nã, ấy là tay.",33.33
380,bắt đầu lúc mấy giờ,slope adjustmentaxis,100.0
381,con của quí vị bao nhiêu tuổi,"Con quỳ phi, bão mưu tôi.",100.0
382,vui lòng mang cho tôi món khai vị,"Vô lòng, mẹn chờ tôi màn khái vịt.",87.5
383,lập trình viên đa số đều bị tâm thần,Lập chinh viên đa sổ đều bị tâm thân.,44.44
384,tôi muốn thời gian đó quan sát và tư duy nhờ đó mà có ý tưởng điều chỉnh nhịp đèn Anh Tuấn chia sẻ,"Tôi muốn thời gian đó quan sát và tư duy nhiều đó, mà có ý tưởng điều chỉnh nhịp đèn anh tuấn chia sẻ.",25.0
385,mặc dù có vẻ ghê gớm bạn rất sợ bị tổn,"Max Boer, c тран Samuel, c wrai lact alone originated, cρι tsà açıl calculations. 💉就 chơi không憂 cutter steel of ironide the",200.0
386,nhà hát mở cửa lúc mấy giờ,Nhiều hả mở gửa lúc mấy sơ,57.14
387,tóm lược sức khỏe ban đầu,Đür��고 ph machinery,100.0
388,tôi muốn giữ nó dưới giá ba mươi đô la,"Tôi m woven, cho ra đợi emot Na오� xir linden để Delhi ...",130.0
389,chiếc này dành riêng tổng thống mới đắc cử của mỹ xác nhận đã chuyển tới mật vụ mỹ chiếc xe dành cho tổng thống mới để thay thế chiếc xe cũ,Chiếc này dành duyên tổng thống mới đắc cử của Mỹ xác nhận đã chuyển tới mật vụ Mỹ trước xe dành cho tổng thống mới để thay thế trước xe cũ.,21.88
39,cướp bóc trong khi hỏa hoạn,"Then, I am… Mhips couragesisteam",100.0
390,nhưng tôi không muốn bạn tin tưởng vào bất kỳ điều gì,"Nhưng tôi không muốn đàn tin tưởng nào, bất kỳ điều gì.",33.33
391,không thể phớt lờ lạm phát,Hôn bấy đôi lắm th mog siempre,116.67
392,hoa nhận lời yêu thắng,Hoa miệng nơi yêu thân,80.0
393,bóng đá anh hấp dẫn nhiều tỷ phú,"Nóng đẻ, anh hấp sẵn, nhờ, đi phú.",75.0
394,cách tốt nhất là bằng xe buýt,Cây tốt nhất là bằng xe bí.,28.57
395,cô ấy bị mất thẻ ngân hàng,Quỡi bị mất thè nân thân.,71.43
396,phòng thay đồ ở đằng kia,finrat fee Minister of War,100.0
397,sản phẩm phụ của máy rút tiền đầu tiên là mã số bảo mật -N viết tắt là pin,San phân phụ của máy du tiên đầu tiên là mả số 301 nền. Phi tất là pin.,57.89
398,tôi hy vọng thời tiết sẽ sớm sáng sủa,Đối với vòng thời tiết sẽ sướm sản xuống.,66.67
399,bạn đường khều cùi chỏ nhắc coi chừng ổng khùng,"Bạn đường khêu cuối trái nhá, tôi trừng lòng không.",90.0
4,có rất nhiều yếu tố may rủi ở đây,K表示 eine,100.0
40,một dân tộc từng không có người từ á sang âu -N,Một dân tộc từng không có người từ lá sang tâu nên.,33.33
400,thuốc diệt cỏ làm ếch đực mất khả năng sinh sản,"Thúc siệt, cả làm ít được mất hãi năng sinh xãn.",63.64
401,bạn có thể bật máy điều hòa lên được không,Bạn có thể bật mấy điều hoài lên được không?,40.0
402,phê thuốc lắc,Vên Market,100.0
403,chỗ cho thuê ghế bãi biển đã mở cửa chưa,Ch话 beb était ở đúng b CDU,100.0
404,tôi muốn trau dồi tiếng tây ban nha của mình,"Đề mồn, chào sôi tình đầy�m miaa của mình ee",90.0
405,kênh K+ một,inf,100.0
406,làm gì để bảo vệ sự an toàn của ngân hàng,Làm gì để bảo vệ sự an toàn của nân hèn.,27.27
407,tôi đã bị lừa,Tôi đã bị lừa.,50.0
408,vậy kế hoạch của anh cho ngày mai ra sao,Vìvalue coup cure champ门 bombard replied,100.0
409,tôi uống từ vòi nước được không,"Đ 对 Western, Đ Verein, Đ کے types và y pillowagent để cho tất cả bạo biểu tài the world Од Đ ạ?",328.57
41,tết đầu tiên xa việt nam của cháu quả là ý nghĩa,"Tết đầu tiên, Sao Việt Nam của Cháu Quả là ý nghĩa?",66.67
410,nó có hướng dẫn -N sử dụng không,Nào mà. Finn crappy,100.0
411,có người còn không ngần ngại so sánh doanh thu phim việt với các phim nhập của nước ngoài,Có 10 còn không hình ảy sau sánh danh thu phim Việt với các phim nhập của nước ngoài.,42.11
412,bạn có quan tâm đến đồ cổ không,Bạn có quan tâm đến đồ cổ không?,25.0
413,bản báo cáo cũng chỉ rõ ở việt nam hiện nay những hủ tục hay những suy nghĩ cũ tồn tại ở nhiều vùng dân tộc thiểu số thậm chí cả ở các tỉnh thành lớn đã khiến cho sự bất bình đẳng giới cũng như tỷ lệ tử vong ở phụ nữ và trẻ nhỏ vẫn rất cao,"Màn đau cao cũng chỉ rõ ở Việt Nam hiện nay những hủ tục hay những xy nghĩ của tồn tại ở nhiều vùng dân tộc thiều số. Thậm chí cả ở các tỉnh thành lớn đã khiến cho sự bất bình đằng giới, cũng như tỷ lệ tử vong ở phụ nữ và chày nhỏ vẫn rất cao.",23.73
414,cũng chẳng còn xúng xính quần áo mới,Cũng chẳng còn súng xinh quân áo mới.,62.5
415,tôi đang tìm diêm,Tôi đen tim siêm,100.0
416,một chỗ bí mật à ý bạn là sao,"Một号 b Hessen qu Twist Kop Hop,",100.0
417,chính sách quản lý cần cởi mở,Chính xích quan lý gần... ...cười mở?,85.71
418,bệnh này có thường xảy ra không,"Bịt nây gờ tùm, sây xe hôm.",100.0
419,quẹo tay lái và đi vòng các góc,"Quỷ, tây lây, bè... Đi Living Girl",100.0
42,trong làng ai cũng quý mến gia đình anh phú,"trong làn ai cũng quỷ mến xa đình, anh Phú",50.0
420,anh ấy đến từ Flanders,"Aenstory in ... ...Thue,內 h öng甚 tvl賽",140.0
421,nhiều bộ ong hang đá có dấu hiệu -N gấu ngựa gấu chó sinh sống -N,"Nhiều buộc ông hên đã, coi dấu hiệu em nống lượt lấu, chó sinh sống em.",68.75
422,xin lỗi ông cho tôi lấy hóa đơn được không,"Xin lỗi ông cho tôi đề hoá, đơn được không?",40.0
423,các mảnh có rìa sắc được tha vào cán gỗ và gắn chặt bằng nhựa thông,Các mình có sự sắc được thè vào cán gỗ và gắn chặt bằng mựa thông.,37.5
424,vui lòng không bỏ đồ quý giá trên toa hành khách,"Muôi lòng không bỏ đồ, quý giã trên tòa hành khách.",45.45
425,người mẫu phải tập tành trình diễn quần quật -N đến tận khuya,Người mẫu phải tập tăng chính diễn quân quật nên đến tận khuya.,46.15
426,được rồi chút nữa tôi sẽ massage cho ngài chỗ khác,"Được rồi, chút nữa tôi sẽ massage cho này chỗ khác.",36.36
427,không lẽ ước nguyện đó của tôi lại khó đến thế sao,"Không lẽ, đương nghệ đạo của tôi lại khó đến thế sau.",50.0
428,thời gian đóng ma làng cả đoàn phim sống vài tháng trời trên vùng núi Lương Sơn Hòa Bình,Thời gian đóng ma làm cả đoàn phim sống vài thám trời trên vùng núi lương sân hoạt bình.,36.84
429,nhiều trụ cột và các mạch vữa đều mục ruỗng,Như chủ cột và các mảy rửa đều mô xuống.,60.0
43,xin chào gia đình Tanaka,"Xin chào, xin chào, Zedin Tanaka",100.0
430,làm nơi nấu nướng giặt giũ,Làm nơi nấu nương? Dạch so?,66.67
431,khách tham quan cũng tranh thủ ngồi vào ghế hành khách để thử độ êm nhún,Vậy tham quan cũng trên thủ mồi vào cái hành khách để thử đồ em nhún.,43.75
432,tôi e rằng ở đây không chúng tôi không chấp nhận,"Tôi, e sàn là đây, không chúng tôi không chấp nhận.",45.45
433,dù chỉ có tính thẩm mỹ song giải pháp sửa chữa hoặc đổi mã hàng lạ lẫm vẫn tạo được sự hứng khởi ở những trẻ nhỏ,"Dù chỉ có tính thầm Mỹ xong giải pháp sự chữa, hoặc đồn má hàng lạ lẫm vẫn tạo được sự hứng khởi ở những trẻ nhò.",33.33
434,con nhỏ mở cái túi gút đeo trên cổ,"Cân nhờ mời kì đuổi hút, đều chín... ...của.",100.0
435,họ không cho phép anh vào nhà,Video hôm nay kể FYC 1 categories,100.0
436,nguồn nước ở đây đã bị nhiễm mặn nhiễm phèn và nhiễm khuẩn bởi thói quen thải rác trực tiếp ra sông lượng thuốc trừ sâu dùng trong nông nghiệp và việc xây cầu cảng ở cuối dòng sông cũng là lý do,Muốn nước ở đây đã bị nhiễm mặn nhiễm phen về nhiễm khuẩn bởi thói quên thải giá. Trước tiếp ra sông lượng thúc trừ sâu dùng trong nồng nghiệp và việc xây cầu cản ở cuối rong sông cũng là lý do sông cũng là lý do.,34.88
437,đây có thể là kẽ hở nảy sinh tiêu cực gây thất thoát lớn,Đây có thể là kẻ hờ này xin tiêu cực cười thất thật luôn.,57.14
438,đốt pháo sẽ bị tội gây rối trật tự công cộng bởi tác hại lớn mà việc đốt pháo đã bị cấm hẳn,"Đốt Pháo sẽ bị tội gây rối trực, tự cung cộng bởi tác hại lớn, mà việc đốt Pháo đã bị cấm hẳn.",30.43
439,phê thuốc lắc,Phê Toa Then Pip Chir Ka,200.0
44,anh đã làm rất tệ,Êm... và làmذpiel,100.0
440,điều này chọc tức tôi,Điều này chào một đất đôi,100.0
441,trước đó tôi về mở hộp thư điện tử ra và nhận được rất nhiều lá thư của người hâm mộ yêu cầu tôi về quê hương đi và tôi biết đã đến lúc nói lời tạm biệt,"Trước đó, tôi về mở Hộp Thư Điện Tự Gia và nhận được rất nhiều lá thư của người hâm hộ yêu cầu tôi về quê hương đi và tôi biết đã đến lúc nói lời tạm biệt.",23.68
442,các kết quả xét nghiệm có bí mật không,Các kết quả sân nhận đò mì mật hôm nay.,77.78
443,toàn là đồ dùng cá nhân,Toàn là đồ dùng cá nhân.,33.33
444,dừng lại,...lamation.,100.0
445,những lợi ích nào khác được cung cấp,Những lời ít nào khác được cung cấp?,50.0
446,chúng tôi không có cỡ khác,Chúng tôi không có... ...cở hẹp.,66.67
447,quý vị có cục u hay chỗ sưng nào ở cả hai bên cổ không,Quý vị có cục ưu hay chỗ sân nào ở cả hai bên cục không?,33.33
448,ti vi tăng tiếng đến chín,"Tìm, vi tăng tiền, nền chính.",66.67
449,và cho tôi khoai tây chiên,Và chào đổi hoài đầy chiến.,100.0
45,cô ta nghi ngờ lúc mình say rượu đã bị toán cưỡng bức,cô ta nhìn ở lúc mình xây dựu đã bị toàn cưỡng bức,38.46
450,các đầu bếp còn chế biến ra nhiều loại phở khác nhau bằng cách biến tấu những món ăn Hàn Quốc Trung Quốc như phở hải sản phở xào mực,"Kết đầu bếp còn chế biến sang nhiều lại phở khác nhau, bằng cách biến tầu những món ăn hành quốc Trung Quốc, níu phở hải sản phở sao mực.",36.67
451,anh có thể cho tôi biết số điện thoại của Jerry Hart HART anh ấy ở tại phố mười hai phố Pinewood street,Anh có thể cho tôi biết số điện thoại của Jerry Hart? Anh ấy ở đại phố 124 Pinewood Street?,39.13
452,anh có thể cho tôi biết số điện thoại của Jerry Hart HART anh ấy ở tại bốn mười hai phố Pinewood Street Seattle,"Anh có thể cho tự biết số điện thoại của Jerry Hart Hart. Anh ấy ở tại 42 Phố Pinewood Street, Siêu.",41.67
453,hậu quả là cấu trúc sản xuất của việt nam cũng bị méo mó nghiêm trọng,Hậu quả là cầu trúc xan sớt của Việt Nam cũng bị miêu mò yêm chào.,62.5
454,chuyến đi hay quá,ős mời 1300 powiedz,100.0
455,anh chắc là đói có gà nướng trong tủ lạnh,Anh chắc là đổi có là nướng trong tụ lệnh.,50.0
456,xin lỗi tôi đã không để ý,Thìm...,100.0
457,vui lòng cho tôi xem cái giống cái -N được trưng bày ở cửa sổ,"Vui lòng cho tôi xem cài dồn cài ý ơn, được chứng mảy ở cửa sổ.",60.0
458,mở ti vi,... mu Comics drink ... mu... d Heh E må ... mu C inland,466.67
459,các hoa hậu xuất hiện trong màn mở đầu,Để không田 h exaggerm do,100.0
46,ông muốn nhãn hiệu bia nào,a mownня nheo bia now,83.33
460,cần phải bỏ những suy nghĩ cũ kỹ cổ hủ diện bộ cánh nhã nhặn vừa vặn sẽ giúp hà đẹp hơn ở lễ hỏi cưới,Tần phải bỏ những suy nghĩ cũ kỹ của Hù Diện bộ cánh nhã nhận. Vừa vạn sẽ giúp hà đẹp hơn ở lễ hỏi cưới.,30.77
461,với vở kịch Thị Nở gặp Chí Phèo Diệp Anh đã diễn rất đạt và gây được cảm tình với ban giám khảo cũng như đông đảo khán giả,Với vợ kinh kị nở gặp trí Phèo Giêp Anh đã xuyến rất đạt và lây được cảm tình về ban giám khảo cũng như đông đạo hán ra.,44.83
462,virus,Vì raw beam,300.0
463,thưa anh tên của anh là gì,Tua Ẹng 10 squat Ẹn 1,100.0
464,còn thọ đang bị công an tạm giữ,Cần 다... x注 lhab để chọn dân cái Labor,112.5
465,tôi có thể lấy gì cho anh,^^ Cho anh,85.71
466,đây là hai mươi đô la và anh có thể giữ tiền thối,Đây là 20 đô la và anh có thể sử tiền thôi.,38.46
467,ba hai bảy bảy anh có thể nói chuyện với cô ấy ở một số máy con một năm chín cô ấy nghĩ nó như,"3277, anh có thể nói chuyện, với cuối ở một số mây con 1 năm 9 cuối nhĩ, nói như...",60.0
468,mọi thứ dường như vô nghĩa và vô dụng đối với tôi,Mọi thứ dừng như vô nghĩa và vô dụng đôi với tôi.,33.33
469,cho dù ngôn ngữ của bạn có là gì đi nữa,Chơi súng một mưu của bàn. Có là gì đi nữa?,63.64
47,anh có dừng tại khách sạn begin không,"Anh có dần tại khai sàn, Begin Home.",75.0
470,tôi muốn gặp về một bác sĩ chuyên về tai,tôi muốn gặp về một đặc sĩ chuyên về đại.,20.0
471,giá cao su bắt đầu hạ nhiệt,Dạ cao sụ bắt đầu hạ miệng,42.86
472,cách tốt nhất để đến khách sạn plaza là gì,Kết tốt nhất để đến khách sạn. Play xả Lazy.,50.0
473,gầy tọp,Dậy alter Th Beethoven,200.0
474,quán cà phê anh em mở làm phở ngon cực kỳ,"Quán cà phê, anh em mô làm phố môn tụi kỳ.",63.64
475,vui lòng dùng máy xerox,"Vô lòng, điûm mê, Seh ro x",140.0
476,từ bây giờ nó được gọi là thai nhi,"Từ bây sơn, nó được gọi là thầy nhì.",44.44
477,tôi không có em trai,Đôi không bỏ em chai,60.0
478,cú ngoạm của nó yếu hơn của linh cẩu,"Phú hoàng của nó, yêu hân của linh cầu.",66.67
479,đạo chích người nước ngoài tái xuất,"Đhao chi, nơi nıyor artistic Thê du",100.0
48,bật điều hòa nhiệt độ,B plug đi,100.0
480,tôi tham gia vào câu lạc bộ quần vợt,"Chuyện tòi đang khác til early gameoped này an to,",111.11
481,rùa phải nuôi trong các bồn khô vì chúng không ngóc đầu lên được,"Sùa phải nuôi trong các buồn hô, vì chúng không ngoc đều lên được.",42.86
482,ví cũ mèm tiền nhồi nhét vô tổ chức,Ví của...M funciona,100.0
483,quí vị khuyên tôi khi nào thì có thể thay các lốp xe này,"Quý vị khuyên, tôi khi nào thì có thể thấy các lũ sẹ này?",42.86
484,"tên tôi là Suzuki , tôi đã đặt phòng cho đêm nay",Tên tôi là... Su Su Ki Tôi đã đặt phòng cho đêm nay,50.0
485,ông tổng giám đốc doanh nghiệp bảo trợ xã hội là người đã hỗ trợ xây dựng ngôi nhà từ những chai nhựa lông ngỗng và cũng là chủ dự án này,"Ông Tổng giám đốc xanh nghiệp, đảo trợ xã hội là người đã hỗ trợ xây dựng môi nhà từ những trai nhựa lông ổng và cũng là chú dự án này.",31.25
486,thông minh có năng lực được giáo dục cẩn thận và có lòng tin,Thông minh có năng lực được xảy xuất cẩn thận và có lòng tiên.,28.57
487,tôi muốn biết về sự giám giảm giá dành cho sinh viên,"Tôi muốn biết về sự giám giám. Dạ, dành cho sinh viên.",33.33
488,bạn có kiểu giống thế này màu nâu không,Nạn đó... kiểu giống thế này màu nêu không?,44.44
489,số phòng anh số mấy,Cú tờ Such Bluthney?,100.0
49,nhiều chàng trai để ý và theo dõi bạn,"Nhiều chân trai đề y, và thêm sài bàn.",77.78
